"CÓDIGO DE LA SERIE",DTCCBCEUSDEUR.B,DTCCBCEJPYEUR.B,DTCCBCECHFEUR.B,DTCCBCEGBPEUR.B,DTCCBCEBGNEUR.B,DTCCBCECZKEUR.B,DTCCBCEDKKEUR.B,DTCCBCEHUFEUR.B,DTCCFMIXDREUR.B,DTCCBCEPLNEUR.B,DTCCBCERONEUR.B,DTCCBCESEKEUR.B,DTCCBCEISKEUR.B,DTCCBCENOKEUR.B,DTCCBCEHRKEUR.B,DTCCBCERUBEUR.B,DTCCBCETRYEUR.B,DTCCBCEAUDEUR.B,DTCCBCEBRLEUR.B,DTCCBCECADEUR.B,DTCCBCECNYEUR.B,DTCCBCEHKDEUR.B,DTCCBCEIDREUR.B,DTCCBCEILSEUR.B,DTCCBCEINREUR.B,DTCCBCEKRWEUR.B,DTCCBCEMXNEUR.B,DTCCBCEMYREUR.B,DTCCBCENZDEUR.B,DTCCBCEPHPEUR.B,DTCCBCESGDEUR.B,DTCCBCETHBEUR.B,DTCCBCEZAREUR.B
"06 ABR 1999",1.0726,129.9900,1.5950,0.67590,"_",38.3520,7.4312,253.1600,0.7946,4.3143,15902.0000,8.8705,78.3800,8.3345,"_",27.6231,403131.0000,1.7063,"_",1.6140,"_",8.3165,9413.9200,"_","_",1312.9100,10.1430,4.0744,2.0263,41.2800,1.8603,40.5962,6.6689
"07 ABR 1999",1.0812,131.2700,1.5952,0.67720,"_",38.1990,7.4313,254.1200,0.7980,4.3055,15677.0000,8.9290,78.9600,8.3685,"_",27.8100,406178.0000,1.7213,"_",1.6246,"_",8.3786,9459.2100,"_","_",1321.5900,10.2773,4.1080,2.0341,41.6210,1.8765,40.8313,6.6764
"08 ABR 1999",1.0818,130.4500,1.5958,0.67310,"_",38.0630,7.4322,253.5300,0.7979,4.2928,15713.0000,8.9640,78.9400,8.4105,"_",28.2712,406605.0000,1.7324,"_",1.6215,"_",8.3819,9468.8300,"_","_",1323.1700,10.2370,4.1112,2.0382,41.6860,1.8717,40.9302,6.7423
"09 ABR 1999",1.0778,130.7500,1.5968,0.67240,"_",38.0360,7.4323,253.3300,0.7962,4.2918,15386.0000,8.9440,78.7400,8.4120,"_",28.2049,405940.0000,1.7162,"_",1.6202,"_",8.3495,9428.5900,"_","_",1317.9600,10.2475,4.0947,2.0212,41.5130,1.8685,41.0008,6.6692
"12 ABR 1999",1.0867,130.2700,1.6030,0.67230,"_",38.1320,7.4336,254.8200,0.7989,4.3078,15521.0000,9.0200,79.0800,8.4048,"_",28.2139,409852.0000,1.7106,"_",1.6281,"_",8.4257,9488.0100,"_","_",1329.3500,10.4195,4.1321,2.0041,41.7890,1.8720,41.2144,6.7059
"13 ABR 1999",1.0765,129.6600,1.6032,0.66710,"_",38.1550,7.4334,253.6900,0.7933,4.3023,15920.0000,8.9575,78.7100,8.3645,"_",27.9016,408367.0000,1.6920,"_",1.6049,"_",8.3430,9392.0300,"_","_",1315.0500,10.2219,4.0902,1.9875,41.2780,1.8486,40.7813,6.6971
"14 ABR 1999",1.0787,128.5500,1.6052,0.66670,"_",38.0000,7.4331,253.6700,0.7932,4.2905,16073.0000,8.9380,78.5700,8.3410,"_",27.8950,409524.0000,1.6886,"_",1.6103,"_",8.3612,9332.5000,"_","_",1311.0800,10.2496,4.0999,1.9836,41.2470,1.8282,40.5181,6.5774
"15 ABR 1999",1.0786,128.0100,1.6035,0.66820,"_",37.7100,7.4333,253.6500,0.7934,4.2861,16125.0000,8.9290,78.4500,8.3450,"_",27.6065,409291.0000,1.6981,"_",1.6114,"_",8.3577,9341.6500,"_","_",1310.2600,10.2948,4.0983,1.9963,41.1450,1.8238,40.4724,6.5687
"16 ABR 1999",1.0668,126.1600,1.6027,0.66330,"_",37.9220,7.4332,252.6800,0.7863,4.2838,15897.0000,8.8825,77.9700,8.2875,"_",27.3522,407640.0000,1.6535,"_",1.5851,"_",8.2710,9233.0100,"_","_",1297.9600,10.1617,4.0562,1.9638,40.7210,1.8210,40.0008,6.5391
"19 ABR 1999",1.0636,125.6700,1.6015,0.65860,"_",37.7450,7.4330,251.5200,0.7837,4.2657,15846.0000,8.8830,77.7800,8.2685,"_",26.7630,408831.0000,1.6325,"_",1.5759,"_",8.2394,9183.3300,"_","_",1284.1800,10.0529,4.0413,1.9338,40.3600,1.8133,39.7058,6.4608
"20 ABR 1999",1.0646,125.4800,1.6040,0.65890,"_",37.8320,7.4328,251.2700,0.7844,4.2675,15846.0000,8.8990,77.7800,8.2755,"_",26.7630,408831.0000,1.6374,"_",1.5825,"_",8.2394,9183.3300,"_","_",1284.1800,10.0529,4.0413,1.9332,40.3600,1.8133,39.7058,6.4608
"21 ABR 1999",1.0586,126.2600,1.6000,0.65930,"_",37.7970,7.4326,250.2100,0.7829,4.2522,15649.0000,8.9050,77.7000,8.2560,"_",26.4121,408810.0000,1.6349,"_",1.5775,"_",8.2020,9146.3100,"_","_",1257.8300,9.9244,4.0227,1.9358,40.3330,1.8118,39.7788,6.4389
"22 ABR 1999",1.0581,126.9500,1.6010,0.65850,"_",37.8820,7.4327,249.4900,0.7838,4.2641,15710.0000,8.9090,77.7900,8.2645,"_",26.4113,409072.0000,1.6366,"_",1.5730,"_",8.2020,9095.6700,"_","_",1262.6700,9.8542,4.0220,1.9392,40.3780,1.8093,39.7903,6.4359
"23 ABR 1999",1.0634,127.2500,1.6023,0.65830,"_",37.8390,7.4335,251.6000,0.7858,4.2608,15735.0000,8.8945,77.9200,8.2765,"_",26.4052,411957.0000,1.6257,"_",1.5725,"_",8.2404,9117.3800,"_","_",1265.2700,9.9042,4.0404,1.9305,40.4570,1.8187,39.9623,6.4962
"26 ABR 1999",1.0614,126.2200,1.6027,0.65690,"_",37.7100,7.4335,250.7000,0.7841,4.2377,15703.0000,8.8945,77.8700,8.2668,"_",26.0381,412184.0000,1.6349,"_",1.5692,"_",8.2230,9151.5700,"_","_",1257.4100,9.8630,4.0322,1.9358,40.2690,1.8046,40.0069,6.4480
"27 ABR 1999",1.0630,127.3400,1.6047,0.65870,"_",37.6830,7.4346,250.7400,0.7855,4.2457,15780.0000,8.9030,77.9900,8.2765,"_",26.1335,413557.0000,1.6429,"_",1.5744,"_",8.2419,9127.5800,"_","_",1254.5800,9.9215,4.0402,1.9423,40.3910,1.8080,40.0230,6.4463
"28 ABR 1999",1.0666,127.0500,1.6088,0.65830,"_",37.8070,7.4336,251.2700,0.7872,4.2522,15862.0000,8.9130,77.9400,8.2960,"_",26.2630,414253.0000,1.6324,"_",1.5725,"_",8.2646,9111.5400,"_","_",1257.1700,9.9220,4.0520,1.9368,40.5200,1.8090,39.9063,6.4722
"29 ABR 1999",1.0604,126.1600,1.6072,0.65840,"_",37.6920,7.4330,250.5800,0.7838,4.2247,15893.0000,8.9110,77.8900,8.2695,"_",25.9150,413086.0000,1.6123,"_",1.5607,"_",8.2183,8753.2000,"_","_",1246.9700,9.8348,4.0293,1.9063,40.3470,1.7997,39.6571,6.4287
"30 ABR 1999",1.0597,126.9000,1.6113,0.65710,"_",37.6430,7.4323,250.5200,0.7842,4.1883,15832.0000,8.9075,77.9300,8.2515,"_",26.1118,413470.0000,1.6078,"_",1.5519,"_",8.2125,8718.0500,"_","_",1258.4500,9.8322,4.0262,1.8962,40.2660,1.8017,39.4060,6.4682
"03 MAY 1999",1.0589,126.9300,1.6111,0.65710,"_",37.5070,7.4320,250.0200,0.7847,4.1763,15806.0000,8.9185,78.1800,8.2445,"_",26.2016,415285.0000,1.5987,"_",1.5415,"_",8.2073,8416.2800,"_","_",1260.3600,9.8372,4.0239,1.8916,40.1060,1.8015,39.1701,6.4308
"04 MAY 1999",1.0564,128.0400,1.6098,0.65530,"_",37.5430,7.4320,249.5000,0.7837,4.1708,15801.0000,8.9485,78.3100,8.2385,"_",26.1435,414829.0000,1.5996,"_",1.5343,"_",8.1877,8397.6100,"_","_",1264.1900,9.7761,4.0142,1.8933,39.8780,1.8006,38.8983,6.4196
"05 MAY 1999",1.0667,128.7800,1.6041,0.65520,"_",37.5470,7.4322,250.1900,0.7880,4.1765,15934.0000,8.9845,78.5900,8.2565,"_",25.9924,417261.0000,1.6194,"_",1.5535,"_",8.2654,8545.7400,"_","_",1276.9300,9.9083,4.0529,1.9171,40.3160,1.8119,39.2651,6.4989
"06 MAY 1999",1.0799,130.6000,1.6080,0.66010,"_",37.5290,7.4323,250.6000,0.7945,4.2002,16140.0000,9.0050,79.0300,8.2685,"_",26.0123,421187.0000,1.6107,"_",1.5630,"_",8.3697,8678.9000,"_","_",1298.4600,10.0335,4.1033,1.9144,40.9520,1.8373,39.9580,6.5728
"07 MAY 1999",1.0786,130.1300,1.6078,0.66100,"_",37.6900,7.4332,251.5500,0.7940,4.2063,16147.0000,8.9575,79.0300,8.2585,"_",26.1735,420677.0000,1.6122,"_",1.5725,"_",8.3593,8467.4200,"_","_",1296.9000,10.0965,4.0981,1.9233,40.8520,1.8318,39.7321,6.6226
"10 MAY 1999",1.0735,129.8200,1.6075,0.66040,"_",37.6900,7.4323,250.4800,0.7916,4.1918,16070.0000,8.9445,78.9500,8.2110,"_",26.0473,421600.0000,1.6012,"_",1.5662,"_",8.3210,8284.3600,"_","_",1289.1600,9.9894,4.0795,1.9183,40.4190,1.8240,39.5084,6.5940
"11 MAY 1999",1.0732,129.9700,1.6082,0.66190,"_",37.5580,7.4327,249.7800,0.7918,4.1851,16083.0000,8.9420,79.0500,8.2215,"_",26.1351,421984.0000,1.5970,"_",1.5618,"_",8.3230,8241.0400,"_","_",1286.8900,9.9338,4.0803,1.9125,40.3730,1.8238,39.5194,6.6361
"12 MAY 1999",1.0645,128.8800,1.6052,0.65770,"_",37.6670,7.4329,250.0600,0.7875,4.1717,15917.0000,8.9440,78.6300,8.1982,"_",26.7722,420644.0000,1.5961,"_",1.5495,"_",8.2498,8332.4000,"_","_",1283.2000,9.8767,4.0450,1.9004,40.0180,1.8089,39.1470,6.6046
"13 MAY 1999",1.0622,129.2000,1.6013,0.65600,"_",37.7450,7.4330,249.9900,0.7865,4.1977,15954.0000,8.9634,78.6000,8.2190,"_",27.3051,420446.0000,1.5891,"_",1.5540,"_",8.2324,8316.3400,"_","_",1281.0200,9.8820,4.0356,1.8992,40.0370,1.8107,39.3107,6.6398
"14 MAY 1999",1.0676,130.7800,1.6020,0.66010,"_",37.6270,7.4330,250.2700,0.7910,4.1937,15985.0000,8.9490,78.5700,8.1825,"_",27.0932,421491.0000,1.6051,"_",1.5561,"_",8.2729,8342.5200,"_","_",1289.0100,9.8983,4.0554,1.9103,40.3510,1.8274,39.6096,6.5904
"17 MAY 1999",1.0685,131.4700,1.6023,0.65980,"_",37.6290,7.4344,250.4600,0.7924,4.1917,16295.0000,8.9775,78.3900,8.2007,"_",26.4185,424023.0000,1.6117,"_",1.5683,"_",8.2846,8506.0600,"_","_",1289.6500,10.0373,4.0611,1.9175,40.6110,1.8296,39.8214,6.6434
"18 MAY 1999",1.0690,131.6200,1.6023,0.65920,"_",37.6700,7.4338,250.2800,0.7920,4.1885,16575.0000,9.0030,78.4000,8.2115,"_",26.4685,424768.0000,1.5896,"_",1.5585,"_",8.2883,8418.3900,"_","_",1283.3400,9.9578,4.0622,1.9032,40.3290,1.8296,39.5210,6.5927
"19 MAY 1999",1.0634,132.4000,1.6017,0.65690,"_",37.7100,7.4346,249.7300,0.7909,4.1685,16451.0000,9.0280,78.1700,8.2643,"_",26.3624,423319.0000,1.6051,"_",1.5598,"_",8.2433,8599.6800,"_","_",1275.3400,9.8443,4.0394,1.9268,40.1500,1.8310,39.5170,6.5798
"20 MAY 1999",1.0639,132.1600,1.6020,0.65910,"_",37.9110,7.4357,250.0500,0.7909,4.1819,16469.0000,8.9965,78.3300,8.2600,"_",26.4964,424443.0000,1.6083,"_",1.5593,"_",8.2498,8537.8000,"_","_",1275.3400,9.9336,4.0428,1.9372,40.3750,1.8320,39.4650,6.6175
"21 MAY 1999",1.0572,131.2500,1.6034,0.65830,"_",37.8270,7.4351,250.0900,0.7869,4.1667,16410.0000,8.9620,78.0600,8.2255,"_",26.2320,423686.0000,1.5906,"_",1.5442,"_",8.1967,8499.0900,"_","_",1261.3800,9.8469,4.0170,1.9285,39.9690,1.8190,39.1074,6.5467
"24 MAY 1999",1.0585,130.8600,1.6023,0.66170,"_",37.8070,7.4355,250.2800,0.7877,4.1636,16417.0000,8.9754,78.2100,8.2435,"_",26.1563,425109.0000,1.6103,"_",1.5458,"_",8.2083,8526.6300,"_","_",1258.8800,9.9314,4.0225,1.9454,40.0770,1.8223,39.2140,6.5812
"25 MAY 1999",1.0627,130.4100,1.5964,0.66340,"_",37.9160,7.4349,250.9700,0.7898,4.1903,16480.0000,8.9895,78.3700,8.2565,"_",26.0390,426353.0000,1.6134,"_",1.5481,"_",8.2392,8484.8700,"_","_",1260.8300,10.0735,4.0380,1.9494,40.1880,1.8314,39.3747,6.6299
"26 MAY 1999",1.0535,128.7700,1.5949,0.65800,"_",37.8670,7.4334,250.4300,0.7834,4.1753,16366.0000,8.9870,78.0900,8.2380,"_",25.8424,424740.0000,1.6205,"_",1.5446,"_",8.1688,8522.8200,"_","_",1254.7200,10.1127,4.0033,1.9717,40.1070,1.8247,39.1428,6.6004
"27 MAY 1999",1.0473,128.0500,1.5939,0.65510,"_",37.8000,7.4322,249.9300,0.7817,4.1667,16322.0000,8.9780,78.1000,8.2505,"_",25.7839,423843.0000,1.6057,"_",1.5374,"_",8.1219,8481.1400,"_","_",1244.7800,10.0855,3.9798,1.9543,39.9280,1.8136,38.8959,6.5535
"28 MAY 1999",1.0479,126.7000,1.5941,0.65460,"_",37.5850,7.4320,250.1200,0.7792,4.1753,16364.0000,8.9950,77.9800,8.2445,"_",25.9134,423800.0000,1.6046,"_",1.5463,"_",8.1248,8492.8300,"_","_",1242.4200,10.2361,3.9813,1.9557,39.8230,1.8076,38.9224,6.5545
"31 MAY 1999",1.0456,127.1800,1.5943,0.65240,"_",37.5530,7.4318,249.6400,0.7792,4.1518,16327.0000,8.9680,77.8900,8.2375,"_",25.8552,425048.0000,1.6074,"_",1.5411,"_",8.1078,8468.5800,"_","_",1240.3300,10.1048,3.9729,1.9531,39.7030,1.8056,38.7724,6.4984
"01 JUN 1999",1.0434,126.3500,1.5928,0.65050,"_",37.5630,7.4313,249.2000,0.7776,4.1575,16301.0000,8.9675,77.7900,8.2355,"_",25.7459,425272.0000,1.6187,"_",1.5405,"_",8.0924,8477.6300,"_","_",1238.6700,10.1314,3.9638,1.9661,39.6380,1.7980,38.7102,6.4821
"02 JUN 1999",1.0382,125.7100,1.5912,0.64430,"_",37.4770,7.4317,248.6200,0.7741,4.1445,16250.0000,8.9830,77.4600,8.2415,"_",25.4869,424418.0000,1.6075,"_",1.5400,"_",8.0480,8464.4900,"_","_",1231.1100,10.1408,3.9442,1.9689,39.4420,1.7907,38.5080,6.4332
"03 JUN 1999",1.0382,125.8000,1.5928,0.64580,"_",37.5340,7.4311,248.7800,0.7748,4.1450,16321.0000,8.9340,77.4400,8.2410,"_",25.4918,425123.0000,1.6082,"_",1.5344,"_",8.0522,8486.8900,"_","_",1229.9500,10.0804,3.9450,1.9800,39.5280,1.7922,38.4998,6.4472
"04 JUN 1999",1.0315,125.4500,1.5877,0.64120,"_",37.4860,7.4302,248.4100,0.7714,4.1335,16250.0000,8.9115,77.1600,8.2275,"_",25.3877,424659.0000,1.5837,"_",1.5233,"_",8.0018,8330.1900,"_","_",1221.1600,9.9756,3.9201,1.9444,39.2530,1.7811,38.2776,6.3747
"07 JUN 1999",1.0316,124.7000,1.5858,0.64140,"_",37.4530,7.4305,248.5500,0.7710,4.1268,16275.0000,8.8965,77.1900,8.1950,"_",25.3808,425319.0000,1.5621,"_",1.5148,"_",8.0050,7971.8200,"_","_",1221.3100,9.8608,3.9215,1.9209,39.1890,1.7793,38.2596,6.3295
"08 JUN 1999",1.0385,125.9900,1.5909,0.64890,"_",37.3380,7.4302,248.9400,0.7750,4.1350,16386.0000,8.9035,77.3100,8.1925,"_",25.4131,427046.0000,1.5732,"_",1.5242,"_",8.0561,7899.7000,"_","_",1223.4700,9.8273,3.9467,1.9549,39.2590,1.7786,38.3559,6.3209
"09 JUN 1999",1.0466,124.4800,1.5914,0.65230,"_",37.2870,7.4303,249.5900,0.7771,4.1420,16493.0000,8.9285,77.5400,8.2120,"_",25.5085,429484.0000,1.5777,"_",1.5413,"_",8.1194,8110.3800,"_","_",1220.2200,9.9596,3.9767,1.9568,39.5580,1.7922,38.6891,6.4012
"10 JUN 1999",1.0474,124.5000,1.5947,0.65380,"_",37.2930,7.4303,249.8000,0.7779,4.1155,16538.0000,8.9020,77.5500,8.2000,"_",25.5340,430063.0000,1.5834,"_",1.5395,"_",8.1256,8081.8600,"_","_",1222.5000,10.0513,3.9801,1.9572,39.6230,1.7956,38.6965,6.4263
"11 JUN 1999",1.0474,124.0900,1.5970,0.65060,"_",37.1670,7.4304,249.8300,0.7758,4.1195,16520.0000,8.8785,77.3800,8.1965,"_",25.5936,430854.0000,1.5796,"_",1.5273,"_",8.1243,8037.2700,"_","_",1222.6200,10.0331,3.9800,1.9419,39.7000,1.7926,38.6417,6.4077
"14 JUN 1999",1.0437,125.4200,1.5952,0.64730,"_",37.0550,7.4302,249.8700,0.7758,4.1132,16428.0000,8.8530,77.4600,8.1805,"_",25.5004,431049.0000,1.5765,"_",1.5234,"_",8.0951,7774.8300,"_","_",1221.0100,9.9889,3.9657,1.9457,39.5060,1.7880,38.6184,6.3509
"15 JUN 1999",1.0392,125.2700,1.5941,0.65010,"_",37.0530,7.4302,249.8000,0.7746,4.0917,16372.0000,8.8630,77.4500,8.1890,"_",25.4629,430530.0000,1.5735,"_",1.5207,"_",8.0626,7571.3100,"_","_",1211.3100,9.8734,3.9494,1.9427,39.4160,1.7778,38.4178,6.3370
"16 JUN 1999",1.0345,124.4000,1.5944,0.65100,"_",37.0530,7.4302,249.0700,0.7727,4.0627,16305.0000,8.8100,76.6800,8.1685,"_",25.3571,429669.0000,1.5754,"_",1.5138,"_",8.0221,7519.7400,"_","_",1204.2100,9.8602,3.9296,1.9501,39.0890,1.7637,38.1831,6.3409
"17 JUN 1999",1.0340,123.9700,1.5976,0.64810,"_",37.0130,7.4314,249.2200,0.7718,4.0528,16363.0000,8.7945,76.5300,8.1510,"_",25.2853,430201.0000,1.5690,"_",1.5046,"_",8.0200,7516.8300,"_","_",1206.2600,9.7657,3.9291,1.9309,39.0110,1.7598,38.0804,6.2867
"18 JUN 1999",1.0388,124.5200,1.5969,0.65060,"_",36.8970,7.4312,249.5500,0.7752,4.0673,16439.0000,8.7485,76.7500,8.1370,"_",25.3190,430864.0000,1.5907,"_",1.5215,"_",8.0564,7569.2200,"_","_",1208.0600,9.7081,3.9456,1.9515,39.2480,1.7709,38.3284,6.1964
"21 JUN 1999",1.0339,126.3000,1.5967,0.65060,"_",36.8530,7.4318,249.3200,0.7734,4.0357,16410.0000,8.7295,77.2700,8.1040,"_",25.1772,432131.0000,1.5804,"_",1.5119,"_",8.0239,7241.5100,"_","_",1205.7100,9.6624,3.9304,1.9515,39.2000,1.7677,38.1472,6.2263
"22 JUN 1999",1.0313,125.6000,1.5952,0.64980,"_",36.8330,7.4324,249.1300,0.7718,4.0378,16205.0000,8.6655,76.9400,8.0895,"_",25.2059,431884.0000,1.5847,"_",1.5176,"_",8.0028,7102.2600,"_","_",1195.5700,9.6780,3.9199,1.9519,38.9160,1.7532,37.7548,6.1784
"23 JUN 1999",1.0280,125.5500,1.5970,0.65110,"_",36.8450,7.4319,248.5700,0.7709,4.0343,16208.0000,8.7165,76.7000,8.1060,"_",25.0367,431751.0000,1.5689,"_",1.5104,"_",7.9907,6885.5500,"_","_",1197.3800,9.6357,3.9140,1.9328,38.9440,1.7526,37.8010,6.1853
"24 JUN 1999",1.0321,126.0500,1.5977,0.65330,"_",36.9600,7.4320,249.4800,0.7731,4.0458,16186.0000,8.7315,76.7200,8.1100,"_",25.1231,432335.0000,1.5672,"_",1.5165,"_",8.0133,6970.7300,"_","_",1195.3500,9.7113,3.9243,1.9246,39.1240,1.7570,37.8692,6.2271
"25 JUN 1999",1.0443,126.8000,1.5995,0.65780,"_",36.9700,7.4322,250.5500,0.7786,4.0888,16437.0000,8.7572,77.2600,8.1530,"_",25.5027,437144.0000,1.5746,"_",1.5353,"_",8.1026,7202.1800,"_","_",1206.1700,9.8988,3.9684,1.9471,39.5270,1.7775,38.3872,6.3093
"28 JUN 1999",1.0388,125.9600,1.5995,0.65640,"_",36.8360,7.4327,249.9900,0.7763,4.0865,16452.0000,8.7545,77.1400,8.1315,"_",25.3587,436183.0000,1.5781,"_",1.5242,"_",8.0590,6870.6800,"_","_",1201.2000,9.9418,3.9480,1.9428,39.3770,1.7706,38.3210,6.2967
"29 JUN 1999",1.0364,125.3000,1.6012,0.65440,"_",36.6820,7.4343,249.8700,0.7750,4.0723,16483.0000,8.7485,76.8700,8.1210,"_",25.1100,435934.0000,1.5775,"_",1.5258,"_",8.0380,6921.1500,"_","_",1199.0300,9.7984,3.9372,1.9503,39.3510,1.7658,38.2062,6.2754
"30 JUN 1999",1.0328,124.8200,1.6034,0.65630,"_",36.4180,7.4341,249.6400,0.7732,4.0580,16388.0000,8.7470,77.0300,8.1045,"_",25.0558,434931.0000,1.5598,"_",1.5262,"_",8.0116,6883.6200,"_","_",1195.4700,9.7374,3.9239,1.9404,39.2390,1.7558,38.0639,6.2621
"01 JUL 1999",1.0264,124.1200,1.6043,0.65020,"_",36.1710,7.4356,249.3000,0.7731,4.0243,16238.0000,8.7215,76.6400,8.0855,"_",24.9020,433811.0000,1.5336,"_",1.5035,"_",7.9614,7029.8200,"_","_",1195.0700,9.6151,3.8998,1.9164,38.9460,1.7429,37.7660,6.1620
"02 JUL 1999",1.0241,123.9300,1.6060,0.64980,"_",36.1840,7.4353,249.1200,0.7689,4.0152,16274.0000,8.7005,76.6200,8.0810,"_",25.0628,433905.0000,1.5347,"_",1.5066,"_",7.9507,6993.9300,"_","_",1193.0700,9.6173,3.8941,1.9242,39.0120,1.7409,37.7774,6.1892
"05 JUL 1999",1.0232,125.1800,1.6055,0.64910,"_",36.1880,7.4353,249.0800,0.7689,4.0085,16200.0000,8.7015,76.5800,8.0700,"_",25.0273,435258.0000,1.5370,"_",1.4985,"_",7.9408,6856.7900,"_","_",1190.7300,9.5586,3.8889,1.9327,39.0380,1.7370,37.7635,6.1583
"06 JUL 1999",1.0221,124.8700,1.6040,0.65140,"_",36.1470,7.4352,248.9700,0.7692,4.0062,16243.0000,8.7015,76.6100,8.0645,"_",25.0206,435419.0000,1.5274,"_",1.4984,"_",7.9323,6866.0900,"_","_",1193.7700,9.5334,3.8855,1.9244,38.9570,1.7372,37.6025,6.1494
"07 JUL 1999",1.0222,124.7700,1.6034,0.65630,"_",36.2000,7.4355,249.0600,0.7695,3.9933,16211.0000,8.6950,76.6600,8.0865,"_",25.0401,435555.0000,1.5417,"_",1.5018,"_",7.9323,6874.6400,"_","_",1198.0800,9.5493,3.8846,1.9496,39.1530,1.7334,37.7262,6.1706
"08 JUL 1999",1.0182,124.7200,1.6029,0.65440,"_",36.2380,7.4358,248.3500,0.7677,3.9710,16154.0000,8.6905,76.7200,8.0950,"_",24.9282,434979.0000,1.5342,"_",1.4967,"_",7.8998,6739.8300,"_","_",1201.8700,9.5010,3.8689,1.9465,39.1970,1.7286,37.7257,6.1703
"09 JUL 1999",1.0204,124.6600,1.6065,0.65770,"_",36.3290,7.4366,249.1800,0.7695,3.9852,16149.0000,8.7075,76.8700,8.1145,"_",24.9199,435786.0000,1.5289,"_",1.5003,"_",7.9154,6778.2400,"_","_",1210.8000,9.5446,3.8762,1.9327,39.2720,1.7334,37.8490,6.2014
"12 JUL 1999",1.0124,123.8200,1.6072,0.65270,"_",36.2730,7.4368,248.6800,0.7649,3.9695,16181.0000,8.7170,76.6800,8.1075,"_",24.7202,435983.0000,1.5296,"_",1.4967,"_",7.8592,6707.8100,"_","_",1198.3000,9.4895,3.8476,1.9306,38.7840,1.7206,37.5790,6.2387
"13 JUL 1999",1.0183,123.8300,1.6031,0.65380,"_",36.4820,7.4369,249.0800,0.7674,3.9990,16057.0000,8.7315,76.8000,8.1155,"_",24.8339,437903.0000,1.5391,"_",1.5097,"_",7.9013,6755.7600,"_","_",1196.9000,9.7391,3.8692,1.9460,39.0280,1.7318,37.8109,6.2465
"14 JUL 1999",1.0168,122.9700,1.6043,0.65230,"_",36.6830,7.4366,248.9600,0.7652,3.9895,16057.0000,8.7500,76.8000,8.1420,"_",24.8339,437903.0000,1.5410,"_",1.5116,"_",7.9013,6755.7600,"_","_",1196.9000,9.7391,3.8692,1.9460,39.0280,1.7318,37.8109,6.2465
"15 JUL 1999",1.0201,123.0400,1.6055,0.65130,"_",36.7530,7.4372,249.3400,0.7665,3.9812,16245.0000,8.7775,76.7500,8.1685,"_",24.8281,439259.0000,1.5435,"_",1.5109,"_",7.9153,6839.4400,"_","_",1206.7200,9.5273,3.8762,1.9514,38.9150,1.7331,37.8592,6.2762
"16 JUL 1999",1.0202,123.1500,1.6059,0.65090,"_",36.7230,7.4371,249.4200,0.7668,3.9717,16224.0000,8.7370,76.7000,8.1270,"_",24.8451,441042.0000,1.5459,"_",1.5136,"_",7.9194,6905.3800,"_","_",1207.9400,9.5584,3.8776,1.9470,39.1320,1.7409,37.9975,6.2627
"19 JUL 1999",1.0146,121.6000,1.6067,0.65110,"_",36.6530,7.4381,249.0100,0.7630,3.9545,16188.0000,8.7135,76.4700,8.0985,"_",24.6643,439847.0000,1.5438,"_",1.5123,"_",7.8727,6817.7800,"_","_",1204.7800,9.4414,3.8552,1.9400,38.8560,1.7279,37.6754,6.2459
"20 JUL 1999",1.0410,123.0900,1.6038,0.66180,"_",36.5200,7.4389,250.9200,0.7753,4.0035,16659.0000,8.7175,77.2800,8.1500,"_",25.3242,446633.0000,1.5963,"_",1.5507,"_",8.0739,6956.7500,"_","_",1241.1500,9.6824,3.9551,1.9891,39.9410,1.7673,38.6446,6.4010
"21 JUL 1999",1.0462,124.2000,1.6059,0.66530,"_",36.7330,7.4404,251.3500,0.7785,4.0247,16687.0000,8.7640,77.6700,8.2630,"_",25.4159,448529.0000,1.6235,"_",1.5656,"_",8.1195,7021.0100,"_","_",1257.7200,9.7729,3.9762,2.0023,40.2330,1.7757,38.8772,6.4027
"22 JUL 1999",1.0499,124.0600,1.6068,0.66420,"_",36.7530,7.4428,251.8200,0.7783,4.0398,16692.0000,8.7795,77.7700,8.2710,"_",25.4783,449820.0000,1.6199,"_",1.5776,"_",8.1501,7113.7600,"_","_",1268.9300,9.8347,3.9900,1.9818,40.4250,1.7861,39.2280,6.3850
"23 JUL 1999",1.0496,121.9600,1.6053,0.66340,"_",36.5820,7.4418,251.7900,0.7764,4.0300,16746.0000,8.7750,77.4900,8.2390,"_",25.5276,451067.0000,1.6175,"_",1.5820,"_",8.1467,7247.8400,"_","_",1268.4000,9.8414,3.9891,1.9780,40.2840,1.7822,39.2307,6.4199
"26 JUL 1999",1.0698,123.8000,1.6066,0.67310,"_",36.6430,7.4425,253.6100,0.7867,4.0698,17026.0000,8.8200,78.1900,8.3410,"_",25.9339,456536.0000,1.6483,"_",1.6203,"_",8.3066,7517.4600,"_","_",1293.7000,10.1246,4.0679,2.0244,41.1070,1.8011,39.9201,6.5632
"27 JUL 1999",1.0627,124.2700,1.6000,0.66800,"_",36.6950,7.4443,252.8200,0.7837,4.0547,16950.0000,8.8055,77.9000,8.3275,"_",25.9111,455314.0000,1.6480,"_",1.6038,"_",8.2482,7428.9800,"_","_",1279.0800,9.9596,4.0383,2.0292,40.7280,1.7939,39.6159,6.5186
